,precision,recall,f1-score,support
0,0.6311787072243346,0.6484375,0.6396917148362236,256.0
1,0.3,0.3673469387755102,0.3302752293577982,49.0
2,0.8802456499488229,0.864321608040201,0.8722109533468559,995.0
accuracy,0.803076923076923,0.803076923076923,0.803076923076923,0.803076923076923
macro avg,0.6038081190577191,0.6267020156052371,0.6140592991802926,1300.0
weighted avg,0.8093278236526988,0.803076923076923,0.8059957413974824,1300.0
