,precision,recall,f1-score,support
0,0.5596330275229358,0.23828125,0.33424657534246577,256.0
1,0.0,0.0,0.0,49.0
2,0.795798319327731,0.9517587939698492,0.8668192219679633,995.0
accuracy,0.7753846153846153,0.7753846153846153,0.7753846153846153,0.7753846153846153
macro avg,0.4518104489502222,0.39668001465661645,0.400355265770143,1300.0
weighted avg,0.7192964482899722,0.7753846153846153,0.7292709608813807,1300.0
