,precision,recall,f1-score,support
0,0.8146067415730337,0.56640625,0.6682027649769585,256.0
1,1.0,0.10204081632653061,0.18518518518518517,49.0
2,0.8612354521038496,0.9668341708542714,0.9109848484848485,995.0
accuracy,0.8553846153846154,0.8553846153846154,0.8553846153846154,0.8553846153846154
macro avg,0.8919473978922944,0.545093745726934,0.5881242662156642,1300.0
weighted avg,0.8572835389892516,0.8553846153846154,0.8358183893466151,1300.0
