Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.7753846153846153,0.7192964482899722,0.7753846153846153,0.7292709608813807
Decision Tree,0.803076923076923,0.8093278236526988,0.803076923076923,0.8059957413974824
Random Forest,0.8553846153846154,0.8572835389892516,0.8553846153846154,0.8358183893466151
XGBoost,0.8469230769230769,0.8357912352517097,0.8469230769230769,0.8292823392935443
SVM,0.7653846153846153,0.5858136094674556,0.7653846153846153,0.6636668342550696
