,precision,recall,f1-score,support
0,0.7562189054726368,0.59375,0.6652078774617067,256.0
1,0.6666666666666666,0.08163265306122448,0.14545454545454545,49.0
2,0.8645928636779506,0.949748743718593,0.9051724137931034,995.0
accuracy,0.8469230769230769,0.8469230769230769,0.8469230769230769,0.8469230769230769
macro avg,0.7624928119390847,0.5417104655932725,0.5719449455697853,1300.0
weighted avg,0.8357912352517097,0.8469230769230769,0.8292823392935443,1300.0
