,precision,recall,f1-score,support
0,0.0,0.0,0.0,256.0
1,0.0,0.0,0.0,49.0
2,0.7653846153846153,1.0,0.8671023965141612,995.0
accuracy,0.7653846153846153,0.7653846153846153,0.7653846153846153,0.7653846153846153
macro avg,0.2551282051282051,0.3333333333333333,0.28903413217138707,1300.0
weighted avg,0.5858136094674556,0.7653846153846153,0.6636668342550696,1300.0
